photolink,placetitle,placelocation,opentime,maplink
https://iili.io/HK6g4ae.jpg,Kastuya,MBK Center 6th Floor,11:00-20:00,https://goo.gl/maps/k3k5fAx47czVUeo3A
https://iili.io/HK6g68u.png,Taurus,MBK Center 2nd Floor,16:00–1:00,https://goo.gl/maps/ZGbbuLpSmFrTY8hV6
https://iili.io/HK6gPyb.jpg,KFC,MBK Center 1st Floor,10:00-22:00,https://goo.gl/maps/qn8ZTbFDCXzyVczWA
https://iili.io/HKPKxBp.png,Hua Seng Hong,MBK Center 6th Floor,10:00-22:00,https://goo.gl/maps/7ex2AFf3WMqu2HvMA
https://iili.io/HK6gsuj.jpg,CocoIchibanya,MBK Center 7th Floor,10:30-21:00,https://goo.gl/maps/FR8u5tzozaV4xQjz5
https://iili.io/HK6gLwx.jpg,นักล่า หมูกระทะ,MBK 2nd Floor,11:00–23:00,https://goo.gl/maps/YhHYDkggSJaYUKYn7
https://iili.io/HKPHNQS.png,Evaime Shabu Shabu,MBK Center 3rd Floor,11:00-20:00,https://goo.gl/maps/HLdPrRZXnkCxu4r97
https://iili.io/HKPKg8F.png,Yayoi,MBK Center 7th Floor,10:00-22:00,https://goo.gl/maps/ZAvM9fYV5Bhd4Ygr9
https://iili.io/HK64rmb.png,Suki Teenoi,MBK Center 2nd Floor,12:00-17:00,https://goo.gl/maps/4JhSwurPw2PnuvAUA
https://iili.io/HK6PuDJ.png,ก๋วยเตี๋ยวพระนคร,MBK Center 5th Floor,10:00-19:30,https://goo.gl/maps/ZyoDJoRjVa29mFpd7
https://iili.io/HK6gycF.png,Maidreamin,MBK Center 7th Floor,11:00-20:00,https://g.page/MaidreaminMBK?share
https://iili.io/HK6r98g.jpg,ชาวเล ซีฟู้ดส์,MBK Center 6th Floor,10:00-21:00,https://g.page/Chaolayhalal?share
https://iili.io/HK6rJ9a.jpg,Shabushi,MBK Center 7th Floor,10:00-22:00,https://goo.gl/maps/FdduJb9qWrsbW7CL9
https://iili.io/HK6r3tR.png,Hongmin,MBK Center 2nd Floor,10:00-22:00,https://goo.gl/maps/v9iM8WKvo3J5VDRdA
https://iili.io/HK6iV71.jpg,Ramenga,MBK Center 5th floor,11:00-21:00,https://goo.gl/maps/YYp7GZYeLV3JcpWSA
https://iili.io/HKPHpyv.jpg,ฮะจิบัง ราเมน,MBK Center 7th Floor,10:00-22:00,https://goo.gl/maps/L1r1YwBerqSqmFRV9
https://iili.io/HKPJHjp.jpg,Longest Grill by Ali,MBK Center G Floor,10:00-21:45,https://goo.gl/maps/2Jxbtx5a6Ns8osdn6
https://iili.io/HKPHD3g.png,Taco Bell,MBK Center G Floor,10:00–21:00,https://goo.gl/maps/bK8hu3S3JtXuLY6k6
https://iili.io/HK6gycF.png,Maid cafe & live restaurant ,MBK Center 2nd Floor,11:00-20:00,https://g.page/MaidreaminMBK?share
https://iili.io/HKPHZ6F.jpg,Viet Cuisine,MBK Center 7th Floor,11:00-21:00,https://goo.gl/maps/CR6kjCGKTok5yfxf7
https://iili.io/HKPHLCP.png,NOVA Kitchen,MBK Center 7th Floor,10:00-21:00,https://g.page/NovaKitchenMbkCenter?share
https://iili.io/HKPHiZB.jpg,Old Street Bak Kut Teh - You Tiao - Soya milk,MBK Center G Floor,10:00-22:00,https://goo.gl/maps/EgrGcsRMGEddXRwR9
https://iili.io/HKPH6TQ.jpg,Kyushu Jangara,MBK Center G Floor,10:00–21:00,https://goo.gl/maps/XHTnCLEpcarLk2cz7
https://iili.io/HKPHryx.jpg,ป้อน,MBK Center G Floor,10:00-21:00,https://goo.gl/maps/RJibUshWE772YyER7
https://iili.io/HKPHryx.jpg,The Beef Master,MBK Center 6th Floor,10:00-20:00,https://g.page/the-beef-master-by-company-b-mbk?share
https://iili.io/HKPHv4e.jpg,บ้านคุณแม่,MBK Center 2nd Floor,11:00-22:00,https://goo.gl/maps/2rXeZCpQUgLzEyRj8
https://iili.io/HKPHkG9.png,Burger King,MBK Center G Floor,7:00-22:00,https://goo.gl/maps/jwZWYzgeLWTHxqrt5
https://iili.io/HKPHeC7.jpg,Chester's,MBK Center 7th Floor,10:00-22:00,https://goo.gl/maps/jivKVgJdthQ4z5WE7
https://iili.io/HKPHNQS.png,Evaime,MBK Center 3rd floor,11:00-22:00,https://goo.gl/maps/ijXWx4BcWQCHrD5Y9
https://iili.io/HKPHwj2.png,McDonald's,MBK Center G Floor,10:00-20:00,https://goo.gl/maps/zYQahJvVqsf41p9s6
https://iili.io/HKPHM2s.png,เฮือนอีแม่,MBK Center 2nd Floor,11:00-22:00,https://goo.gl/maps/BZd72KB5KiPN76Yu5
https://iili.io/HKPHWvf.png,ลิ้มเหล่าโหงว,MBK Center G Floor,11:00-20:30,https://goo.gl/maps/CTs3KVFPSH9zAbC39
https://iili.io/HKPHjTl.jpg,Kenshin Izaka,MBK Center 2nd Floor,11:00-23:00,https://goo.gl/maps/HX338bAvaXUoUFMW8
https://iili.io/HKPHVYG.jpg,Oppa Daek,MBK Center 2nd Floor,10:00-22:00,https://goo.gl/maps/mzPDUdq846CkTNwP6
https://iili.io/HK6rfMN.png,บ้านคุณแม่ & เฮือนอิแม่,MBK Center 2nd Floor,11:00-22:00,https://goo.gl/maps/EYghAZYY1nsLNFWP7
https://iili.io/HK6rfMN.png,Mk Suki Restaurant,MBK Center 7th Floor,10:00-20:00,https://goo.gl/maps/JB7evnEe8hwaph6v7
https://iili.io/HK6rqPI.png,Sizzler,MBK Center 7th Floor,11:00-21:00,https://goo.gl/maps/CFpdMyF62c82fd7m8
